,release_date,developer,price
90237,2014-02-18,MumboJumbo,6.99
90238,2014-02-18,MumboJumbo,6.99
90239,2014-02-19,Matthew Brown,2.99
90240,2014-02-19,Matthew Brown,2.99
90241,2012-06-12,SCS Software,9.99
90242,2014-02-27,OVERKILL - a Starbreeze Studio.,0.0
90243,2014-02-27,Screaming Bee,2.99
90244,2014-02-27,Infinity Ward,14.99
90245,2013-05-30,"Damian Sommer,Emily Carroll",9.99
90246,2014-02-25,Paradox Development Studio,1.99
90247,2014-02-25,Ubisoft - San Francisco,2.99
90248,2014-02-25,Ubisoft - San Francisco,2.99
90249,2014-02-25,Ubisoft - San Francisco,2.99
90250,2014-02-25,Ubisoft - San Francisco,7.99
90251,2014-02-25,NAMCO BANDAI Studio Inc.,0.0
90252,2014-02-25,Matt Roszak,11.99
90253,2014-02-25,Last Dimension,6.99
90254,2014-02-25,Ubisoft Montreal,14.99
90255,2014-02-25,MercurySteam,39.99
90256,2014-02-25,Nomad Games,1.99
90257,2014-02-25,Nomad Games,7.99
90258,2014-03-11,Snowed In Studios,9.99
90259,2014-03-10,3000AD,0.0
90260,2014-02-26,BANDAI NAMCO Studio Inc.,4.99
90261,2014-03-11,United Independent Entertainment GmbH,9.99
90262,2014-03-11,Colossal Order Ltd.,12.99
90263,2014-02-25,Nomad Games,3.99
90264,2014-03-11,Squinkifer Productions,0.99
90265,2014-03-11,Ubisoft - San Francisco,2.99
90266,2014-03-11,Ubisoft - San Francisco,2.99
90267,2014-03-11,Squinky and the Squinkettes,1.99
90268,2014-03-11,Klei Entertainment,6.99
90269,2014-03-11,"Daedalic Entertainment,Irresponsible Games",9.99
90270,2014-03-11,Matt Thorson,14.99
90271,2014-03-11,Ubisoft - San Francisco,2.99
90272,2014-03-11,Burian Media Enterprises,4.99
90273,2014-03-07,"International Games System, Co., LTD.",9.99
90274,2014-03-11,Full Control Studios,4.99
90275,2014-03-12,Cloud 9 Studio,34.99
90276,2014-03-14,ComiPo! LLP,19.99
90277,2014-03-14,ComiPo! LLP,24.99
90278,2014-03-12,Cloud 9 Studio,34.99
90279,2014-03-14,ComiPo! LLP,24.99
90280,2014-03-16,Screaming Bee,9.99
90281,2014-03-17,Tortuga Team,4.99
90282,2014-03-17,Thomas Bowker,2.99
90283,2014-03-17,Sherman3D,9.99
90284,2014-03-18,Square Enix,9.99
90285,2014-03-18,Vlambeer,9.99
90286,2014-03-17,bitSmith Games,4.99
90287,2014-03-18,Doragon Entertainment,4.99
90288,2014-03-18,Ubisoft - San Francisco,2.99
90289,2014-03-25,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",14.99
90290,2014-03-18,Ubisoft - San Francisco,2.99
90291,2014-03-18,Ubisoft - San Francisco,2.99
90292,2014-03-20,Dovetail Games,19.99
90293,2014-03-20,Coilworks,19.99
90294,2014-03-20,Rob Howland,9.99
90295,2014-03-20,Rob Howland,4.99
90296,2014-03-20,Rob Howland,4.99
90297,2014-03-20,Rob Howland,4.99
90298,2014-03-20,Rob Howland,4.99
90299,2014-03-20,Rob Howland,4.99
90300,2014-03-20,Rob Howland,4.99
90301,2014-03-20,Rob Howland,4.99
90302,2014-03-20,Rob Howland,4.99
90303,2014-03-20,Rob Howland,4.99
90304,2014-03-20,Rob Howland,4.99
90305,2014-03-20,Crystal Shard,2.99
90306,2014-03-20,Pyxel Arts,9.99
90307,2008-10-06,ZSK Progres s.c.,5.99
90308,2014-03-27,Independent Arts Software,9.99
90309,2014-03-25,MercurySteam,0.99
90310,2014-03-25,MercurySteam,0.99
90311,2014-03-25,MercurySteam,0.99
90312,2014-03-25,Ubisoft - San Francisco,2.99
90313,2014-03-25,"World-Loom,Nitreal",9.99
90314,2014-03-25,Ubisoft - San Francisco,2.99
90315,2014-03-25,Ubisoft - San Francisco,2.99
90316,2014-03-25,Ubisoft - San Francisco,2.99
90317,2014-03-25,Tribute Games Inc.,19.99
90318,2014-03-25,David Amador,4.99
90319,2014-03-25,Ubisoft - San Francisco,11.99
90320,2014-03-26,Bongfish GmbH,1.99
90321,2014-03-25,Ubisoft - San Francisco,2.99
90322,2014-03-27,Dovetail Games,19.99
90323,2014-03-27,Creative Assembly,14.99
90324,2014-04-03,Mousechief,9.99
90325,2014-04-02,Tragnarion Studios,1.99
90326,2014-04-02,Subsoap,0.0
90327,2011-02-08,Cranberry Production,9.99
90328,2014-04-03,Eversim,9.99
90329,2012-10-29,Artifex Mundi,9.99
90330,2004-06-22,Jarhead Games,9.99
90331,2007-08-15,Nikita,4.99
90332,2010-06-17,1C Company,2.99
90333,2004-05-21,K-D Lab,3.99
90334,2009-05-04,CrioLand,2.99
90335,2006-09-25,Plastic Reality Technologies,3.99
90336,2014-04-03,Infinity Ward,1.99
90337,2014-04-03,Infinity Ward,3.99
90338,2014-04-03,Infinity Ward,1.99
90339,2014-04-03,WZOGI,4.99
90340,2014-04-04,SCS Software,1.99
90341,2009-09-10,Apeiron,9.99
90342,2013-07-08,Nemoria Entertainment,4.99
90343,2014-04-04,Opus,9.99
90344,1996-09-25,DigiFX Interactive,5.99
90345,2014-04-04,GTGD,0.99
90346,2014-04-04,"Vanguard Games,343 Industries",2.99
90347,2013-11-15,XGen Studios,14.99
90348,2014-04-07,Leadwerks Software,99.99
90349,2014-04-04,Frozen Yak Entertainment,0.0
90350,2014-04-07,Alawar,9.99
90351,2014-04-08,Gamebell Studio,4.99
90352,2014-04-07,TML-Studios,24.99
90353,2014-03-26,"Stephane Valverde,Leslie Valverde",9.99
90354,2014-04-08,Ubisoft - San Francisco,2.99
90355,2014-04-04,Inmatrix LTD,29.96
90356,2014-04-08,Ubisoft - San Francisco,2.99
90357,2014-04-08,Ubisoft - San Franciscos,2.99
90358,2014-04-11,Niels Bauer Games,9.99
90359,2014-04-14,Quantized Bit,1.99
90360,2014-04-14,BlueLine Games,2.99
90361,2014-06-10,Krita Foundation,9.99
90362,2009-01-01,Dovetail Games,4.99
90363,2009-01-01,RailSimulator.com,4.99
90364,2009-01-01,Dovetail Games,4.99
90365,2009-01-01,Dovetail Games,4.99
90366,2009-01-01,Dovetail Games,4.99
90367,2009-01-01,Dovetail Games,4.99
90368,2009-01-01,Dovetail Games,4.99
90369,2014-04-15,Dovetail Games,4.99
90370,2009-01-01,Dovetail Games,4.99
90371,2009-01-01,Dovetail Games,4.99
90372,2009-01-01,Dovetail Games,4.99
90373,2009-01-01,Dovetail Games,4.99
90374,2009-01-01,Dovetail Games,4.99
90375,2014-01-07,Broken Rules,9.99
90376,1996-01-01,Humongous Entertainment,4.99
90377,1996-11-22,Humongous Entertainment,4.99
90378,1992-01-01,Humongous Entertainment,6.99
90379,2014-04-17,Broken Rules,4.99
90380,2014-04-17,BumpkinBrothers,9.99
90381,2014-04-17,DL Softworks,6.99
90382,1996-10-04,Humongous Entertainment,6.99
90383,2014-04-17,Gogii Games,4.99
90384,1994-10-28,Humongous Entertainment,6.99
90385,2014-04-17,Astral Byte Ltd.,0.0
90386,2014-04-17,Astral Byte Ltd.,8.99
90387,2014-04-17,Idea Factory,19.99
90388,2014-04-17,Mad Otter Games,0.0
90389,2014-04-17,Digital Tentacle,4.99
90390,2014-04-18,DMD Enterprise,1.99
90391,2014-04-17,Microids,4.99
90392,2012-09-25,9heads Game Studios,1.99
90393,2012-09-25,9heads Game Studios,0.0
90394,2014-04-23,Games Up,4.99
90395,2003-10-03,Altar Interactive,3.99
90396,2004-11-30,1C Company,2.99
90397,2006-07-19,"Saturn-plus,Orion",2.99
90398,2003-12-11,Creat Studio,2.99
90399,2007-01-26,DVS,2.99
90400,1994-06-02,"Sir-Tech,Madlab Software",9.99
90401,2011-09-05,Slitherine Ltd.,9.99
90402,2010-12-09,Slitherine Ltd.,9.99
90403,2013-08-06,Slitherine Ltd.,9.99
90404,2013-11-27,Slitherine Ltd.,9.99
90405,2012-01-15,Slitherine Ltd.,9.99
90406,2013-03-20,Slitherine Ltd.,9.99
90407,2014-04-25,Farsky Interactive,4.99
90408,2010-12-10,"Play, Silden",2.99
90409,2014-04-25,Krillbite Studio,0.0
90410,2002-04-13,Black Cactus,9.99
90411,2014-04-25,Somi,2.99
90412,2014-04-24,Dirigo Games,5.99
90413,2014-04-24,Aartform Games,19.99
90414,2014-04-24,Microids,4.99
90415,2004-06-25,Supersonic Software,4.99
90416,1998-06-19,K-D Lab,6.99
90417,1996-12-31,Gremlin Interactive,9.99
90418,2005-01-08,Eutechnyx,9.99
90419,2013-08-08,Artifex Mundi,9.99
90420,2014-04-24,Hippomancer,4.99
90421,2014-04-24,Hippomancer,0.0
90422,2006-10-17,Apeiron,3.99
90423,2014-04-30,Ubisoft Montréal,2.99
90424,2007-08-24,Apeiron,4.99
90425,2000-12-20,Bohemia Interactive,2.99
90426,2014-04-30,Ticonblu,4.99
90427,2014-04-30,souvenir circ.,7.99
90428,2014-04-30,Eko Software,1.99
90429,2014-04-30,Eagle Dynamics SA,9.99
90430,2014-04-30,Wingware,119.99
90431,2014-04-30,Wingware,79.99
90432,2014-04-30,Cateia Games,6.99
90433,2014-04-30,Abstraction Games,9.99
90434,2014-04-30,"Croteam,Alligator Pit",9.99
90435,2014-05-01,Dovetail Games,19.99
90436,2014-05-01,Homegrown Games,7.99
90437,2014-05-05,Hella Games Entertainment,0.0
90438,2014-05-01,GRIP Digital s.r.o.,2.99
90439,2014-05-06,Whole Hog Games,14.99
90440,2014-05-06,souvenir circ.,0.0
90441,2014-05-06,Windybeard,3.99
90442,2012-05-06,Minor Key Games,0.0
90443,2013-04-01,Digital Happiness,0.0
90444,2014-05-06,Red Barrels,8.99
90445,2014-05-06,Ubisoft - San Francisco,2.99
90446,2014-05-06,Eldon Harris,24.99
90447,2014-05-06,Ubisoft - San Francisco,2.99
90448,2014-05-06,Ubisoft - San Francisco,2.99
90449,2014-05-06,Ubisoft - San Francisco,7.99
90450,2003-09-30,Black Cactus,9.99
90451,2014-05-06,Daedalic Entertainment,19.99
90452,2014-05-06,Carlo D'Apostoli Projects,4.99
90453,2014-05-07,Volition Inc.,9.99
90454,2013-05-08,Ageod,19.99
90455,2014-05-07,Puny Human,4.99
90456,2014-05-13,Positech Games,4.99
90457,2014-05-09,"SmiteWorks USA, LLC",8.99
90458,2014-05-09,Fistful of Frags Team,0.0
90459,2014-05-09,Steve Jarman,4.99
90460,2014-05-12,Kerberos Productions Inc.,0.0
90461,2014-05-09,"BitMonster, Inc.",14.99
90462,2014-05-09,"SmiteWorks USA, LLC",39.99
90463,2014-05-12,Bedtime Digital Games,4.99
90464,2014-05-12,"Nova Dimension,Naga Entertainment",5.99
90465,2014-05-12,Mimimi Productions,19.99
90466,2014-05-12,b-alive gmbh,9.99
90467,2014-05-12,"SmiteWorks USA, LLC",24.99
90468,2014-05-12,Gamepires,4.99
90469,2010-07-02,Dancing Dragon Games,4.99
90470,2014-05-12,TML-Studios,24.99
90471,2014-05-12,"SmiteWorks USA, LLC",5.99
90472,2014-05-13,Ubisoft - San Francisco,2.99
90473,2014-05-13,Ubisoft - San Francisco,2.99
90474,2014-05-14,Last Limb LLC,0.0
90475,2014-05-13,Ubisoft - San Francisco,7.99
90476,2014-05-15,Dovetail Games,19.99
90477,2014-05-13,Ubisoft - San Francisco,2.99
90478,2014-05-14,Ronimo Games,4.99
90479,2014-05-15,Longbow Games,14.99
90480,2014-05-15,Digital Happiness,14.99
90481,2013-07-24,Artifex Mundi,9.99
90482,2009-12-01,Witan Entertainment,4.99
90483,2014-05-15,Digital Happiness,5.99
90484,2014-05-15,The Behemoth,14.99
90485,2008-10-06,Arberth Studios,4.99
90486,2014-05-15,Enter Skies,6.99
90487,2014-05-15,Liquid Flower,9.99
90488,2014-05-15,Casual Brothers,9.99
90489,2014-05-15,Digitalmindsoft,29.99
90490,2014-05-15,Gogii Games,4.99
90491,2010-12-17,Gogii Games,4.99
90492,1994-03-25,Humongous Entertainment,4.99
90493,1997-11-21,Humongous Entertainment,6.99
90494,2014-05-15,Graviteam,14.99
90495,2014-05-15,Idea Factory,4.99
90496,2014-05-15,Freegamer,4.99
90497,2001-03-30,Humongous Entertainment,6.99
90498,2000-04-01,Humongous Entertainment,6.99
90499,1998-03-06,Humongous Entertainment,6.99
90500,2014-05-16,Forever Entertainment S. A.,2.99
90501,2014-05-16,Gamatic,4.99
90502,2013-10-09,Alawar Entertainment,6.99
90503,2014-05-16,Stage Clear Studios,9.99
90504,2014-05-16,Digitalmindsoft,6.99
90505,2014-05-16,Hypercane Studios,4.99
90506,2010-01-28,Winter Wolves,14.99
90507,2014-05-16,Psydra Games LLC,4.99
90508,2014-05-20,Keybol,1.99
90509,2014-05-20,Supergiant Games,9.99
90510,2014-05-16,"神奈川電子技術研究所,EXTREME",2.99
90511,2006-03-01,Nabi Studios,0.0
90512,2014-02-28,Dark Gaia Studios,5.99
90513,2014-05-16,RosePortal Games,14.99
90514,2014-05-19,Peoleo Entertainment,0.0
90515,2014-05-19,Peoleo Entertainment,19.99
90516,2014-05-19,Peoleo Entertainment,59.99
90517,2014-05-19,Peoleo Entertainment,14.99
90518,2014-05-19,Evilized Productions,1.99
90519,2014-05-19,"Rusty Moyher,Shaun Inman,Matt Grimm",9.99
90520,2014-05-19,Paradox Development Studio,6.99
90521,2014-05-19,Paradox Development Studio,1.99
90522,2014-05-19,Peoleo Entertainment,14.99
90523,2014-05-19,Paradox Development Studio,1.99
90524,2014-05-19,Full Control Studios,4.99
90525,2014-05-19,SCS Software,1.99
90526,2013-01-10,Appmania/i-Free,2.99
90527,2006-08-29,K-D Lab,3.99
90528,2014-05-22,Milkstone Studios,4.99
90529,2007-08-18,SkyRiver Studios,2.99
90530,2014-05-23,KADOKAWA GAMES / GRASSHOPPER MANUFACTURE,19.99
90531,2014-05-23,Haemimont Games,19.99
90532,2014-05-23,Étienne Périn,3.99
90533,2013-03-23,Cobra Mobile,2.99
90534,2014-05-23,"SmiteWorks USA, LLC",12.99
90535,2014-05-23,"SmiteWorks USA, LLC",24.99
90536,2014-05-23,Forever Entertainment S. A.,7.99
90537,2014-05-23,Forever Entertainment S. A.,0.0
90538,2013-12-02,Cobra Mobile,2.99
90539,2014-05-23,"SmiteWorks USA, LLC",109.99
90540,2013-09-01,Myrtilus Entertainment,5.99
90541,2014-05-23,"SmiteWorks USA, LLC",19.99
90542,2014-05-29,OVERKILL - a Starbreeze Studio.,0.0
90543,2014-05-29,Koalabs,7.99
90544,2014-05-29,Paradox Development Studio,1.99
90545,2014-05-29,Paradox Development Studio,1.99
90546,2014-05-29,Paradox Development Studio,9.99
90547,2014-05-29,Paradox Development Studio,1.99
90548,2014-05-29,Bohemia Interactive,19.99
90549,2014-05-29,Sherman3D,9.99
90550,2014-05-29,Bohemia Interactive,1.99
90551,2014-05-29,11 bit studios,9.99
90552,2012-02-14,"Adam Saltsman,Robin Arnott",4.99
90553,2014-05-29,Schulenburg Software,7.99
90554,2014-05-29,SCS Software,1.99
90555,2014-05-29,Graveck,3.99
90556,2014-05-29,QUByte Interactive,6.99
90557,2000-12-31,Humongous Entertainment,6.99
90558,2011-09-01,Winter Wolves,19.99
90559,2014-05-29,Idea Factory,4.99
90560,2014-05-29,KOG,9.99
90561,2014-05-29,KOG,39.99
90562,2014-05-30,Artem Kotov,2.99
90563,2014-05-30,Visual Entertainment And Technologies,16.99
90564,2014-05-30,Endnight Games Ltd,14.99
90565,2003-11-27,Targem Games,3.99
90566,2014-05-30,Undead Labs,6.99
90567,2014-05-30,Over The Moon,9.99
90568,2014-05-30,Sport1 GmbH,4.99
90569,2014-05-30,Arctic Anteater,9.99
90570,2014-05-30,Wastelands Interactive,14.99
90571,2014-06-06,Wild Games Studio,1.99
90572,2014-06-05,Uppercut Games Pty Ltd,9.99
90573,2014-06-05,Snowbird Games,3.99
90574,2013-09-25,Artifex Mundi,9.99
90575,2013-10-02,"Alawar,Mirball Games",3.99
90576,2013-06-17,Artifex Mundi,6.99
90577,2014-06-05,Owl Cave,5.99
90578,2014-05-31,Evolutionary Games,2.99
90579,2014-06-05,Phosphor Games Studio,4.99
90580,2014-05-28,Exkee,9.99
90581,2014-06-05,Gaijin Games,9.99
90582,2014-06-05,Gaijin Games,5.99
90583,2014-06-06,ovos,9.99
90584,2014-06-06,Stage 2 Studios,19.99
90585,2014-06-06,"Michael Todd Games,Yazar Media Group LLC",4.99
90586,2014-06-09,"TREND, Soft Pro",39.99
90587,2014-06-09,Microblast Games,0.99
90588,2014-06-09,"TREND, Soft Pro",13.99
90589,2014-06-09,"TREND, Soft Pro",13.99
90590,2014-06-09,SmashGames,9.99
90591,2014-06-09,"Trend, Soft-Pro",13.99
90592,2014-06-10,"10th Art Studio,Adventure Productions",6.99
90593,2013-07-09,Gunnar Games,9.99
90594,2014-06-10,Ubisoft - San Francisco,2.99
90595,2014-06-10,Ubisoft - San Francisco,2.99
90596,2014-06-10,Gojira,4.99
90597,2014-06-10,Ubisoft - San Francisco,2.99
90598,2014-06-10,Anthony Case,8.99
90599,2012-03-21,3f Interactive,0.99
90600,2014-06-10,CI Games,29.99
90601,2013-01-14,Heydeck Games,2.99
90602,2014-06-10,Sakura River Interactive,12.99
90603,2014-06-11,Unfinished Pixel,4.99
90604,2014-06-16,Spiders Studio,9.99
90605,2014-06-16,Lost Decade Games,9.99
90606,2014-06-16,MURA Interactive,0.0
90607,2014-06-16,North Side,14.99
90608,2014-06-16,Goldhawk Interactive,24.99
90609,2011-04-19,XGen Studios,19.99
90610,2014-06-16,tequibo,8.99
90611,2014-06-16,Crazy Moo Games,1.99
90612,2014-06-16,Peter Cleary,9.99
90613,2003-10-17,"Future Games,Unknown Identity",9.99
90614,2014-06-16,Parseh Game Studio,14.99
90615,2014-06-17,OVERKILL - a Starbreeze Studio.,0.0
90616,2014-06-17,Colossal Order Ltd.,4.99
90617,2014-06-17,Ubisoft - San Francisco,2.99
90618,2014-06-17,Ubisoft - San Francisco,2.99
90619,2014-06-17,Ubisoft - San Francisco,2.99
90620,2014-06-17,Ubisoft - San Francisco,2.99
90621,2012-07-13,Choice of Games,0.0
90622,2013-09-20,Choice of Games,6.99
90623,2014-06-17,"SmiteWorks USA, LLC",7.99
90624,2014-06-16,Silesia Games Sp. z o.o.,4.99
90625,2014-06-18,BlackMoon Design,7.99
90626,2013-09-20,Choice of Games,0.0
90627,2009-01-01,Reppo,4.99
90628,2014-06-19,Cyanide Studio,9.99
90629,2014-06-19,Infinity Ward,1.99
90630,2014-06-19,Infinity Ward,1.99
90631,2014-06-19,Infinity Ward,1.99
90632,2014-06-19,Infinity Ward,1.99
90633,2014-06-19,Infinity Ward,1.99
90634,2014-06-19,Infinity Ward,1.99
90635,2014-06-19,Infinity Ward,1.99
90636,2014-06-19,Wild Shadow Studios,0.0
90637,2014-06-19,Infinity Ward,1.99
90638,2014-06-19,Wild Shadow Studios,0.0
90639,2014-06-19,Wild Shadow Studios,0.0
90640,2014-06-19,Wild Shadow Studios,0.0
90641,2014-06-19,Wild Shadow Studios,0.0
90642,2014-06-19,Trion Worlds,59.99
90643,2014-06-19,Trion Worlds,99.99
90644,2014-06-19,Trion Worlds,39.99
90645,2014-06-19,Trion Worlds,149.99
90646,2014-06-20,Milestone S.r.l.,19.99
90647,2014-06-20,Milestone S.r.l.,2.99
90648,2014-06-20,Stoic,0.0
90649,2014-06-23,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",19.99
90650,2014-06-20,Nano Games,4.99
90651,2014-06-23,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",12.99
90652,2014-06-24,"Codemasters Racing,Feral Interactive (Mac),Feral Interactive (Linux)",0.0
90653,2014-06-23,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",12.99
90654,2014-06-20,Milestone S.r.l.,5.99
90655,2014-06-24,Ubisoft - San Francisco,2.99
90656,2014-06-24,Ubisoft - San Francisco,2.99
90657,2014-06-24,Ubisoft - San Francisco,2.99
90658,2014-06-24,Ubisoft - San Francisco,7.99
90659,2014-06-24,"Codemasters Racing,Feral Interactive (Mac),Feral Interactive (Linux)",4.99
90660,2014-06-27,Rebellion,3.99
90661,2014-06-27,Rebellion,3.99
90662,2014-06-27,Rebellion,8.99
90663,2014-06-30,Larian Studios,39.99
90664,2014-06-30,MEGAFUZZ,2.99
90665,2014-06-30,SCS Software,0.99
90666,2014-07-01,SCS Software,0.99
90667,2014-07-01,Crytek,0.0
90668,2014-07-01,"oeFun, Inc.",2.99
90669,2014-07-01,Nomad Games,1.99
90670,2014-07-01,rdein,1.99
90671,2009-01-01,Dovetail Games,4.99
90672,2014-07-01,SleepNinja Games,7.99
90673,2014-07-01,"SmiteWorks USA, LLC",5.99
90674,2014-07-01,"SmiteWorks USA, LLC",5.99
90675,2014-07-07,Game Dev Castle,7.99
90676,2014-07-02,Endless Loop Studios,0.0
90677,2014-07-07,Hailstorm Games,9.99
90678,2013-01-13,Wax Lyrical Games,1.99
90679,2014-07-01,"Sideline Amusements,Gonzo Games",4.99
90680,2014-07-08,Daedalic Entertainment,39.99
90681,2014-06-30,North of Earth,9.99
90682,2013-03-12,3f Interactive,4.99
90683,2014-07-08,Crunching Koalas,9.99
90684,2014-07-08,"SmiteWorks USA, LLC",9.99
90685,2014-07-08,Ubisoft - San Francisco,2.99
90686,2014-07-08,Ubisoft - San Francisco,2.99
90687,2014-07-08,Ubisoft - San Francisco,2.99
90688,2014-07-08,Ubisoft - San Francisco,7.99
90689,2012-12-19,Alawar,9.99
90690,2013-06-05,Shaman Games Studio,6.99
90691,2014-07-11,Choice of Games,0.0
90692,2014-07-11,Two Desperados,9.99
90693,2000-03-28,Microprose,6.99
90694,2014-07-11,Really Slick,14.99
90695,2013-06-01,Galhmac Game Studio,0.99
90696,2014-07-11,HandMade Game,9.99
90697,2001-06-09,Cryo Interactive,4.99
90698,2014-07-14,Laminar Research,0.0
90699,2014-07-14,Laminar Research,0.0
90700,2014-07-14,Laminar Research,0.0
90701,2014-07-14,Laminar Research,0.0
90702,2014-07-14,Laminar Research,771.71
90703,2014-07-14,Laminar Research,0.0
90704,2014-07-14,Laminar Research,0.0
90705,2014-07-14,Fixpoint Productions Ltd.,4.99
90706,2014-07-11,"XIAOYAO,BetaSparkUK",9.99
90707,2014-07-16,Paradox Development Studio,4.99
90708,2014-07-16,Paradox Development Studio,1.99
90709,2014-07-16,Paradox Development Studio,1.99
90710,2014-07-16,Lucky Frame,4.99
90711,2014-07-16,Stainless Games,9.99
90712,2014-07-16,"Elias Viglione,Jussi Kukkonen",2.99
90713,2014-07-16,Red Meat Games,0.0
90714,2016-12-07,Subvert Games,0.0
90715,2014-09-19,EVGA,0.0
90716,2014-07-16,Paradox Development Studio,1.99
90717,2014-07-16,Adam Spragg,5.99
90718,2014-07-16,WayForward Technologies Inc.,19.99
90719,2014-07-16,Eversim,19.99
90720,2014-07-16,Stainless Games,4.99
90721,2014-07-16,Stainless Games,4.99
90722,2006-05-12,b-alive gmbh,6.99
90723,2014-07-22,Ubisoft - San Francisco,2.99
90724,2014-07-17,Rebellion,6.99
90725,2014-07-17,Rebellion,3.99
90726,2007-03-30,b-alive gmbh,3.99
90727,2013-11-15,b-alive gmbh,0.99
90728,2012-03-30,b-alive gmbh,3.99
90729,2010-11-19,b-alive gmbh,3.99
90730,2007-10-12,b-alive gmbh,3.99
90731,2014-07-18,Lemondo Entertainment,2.99
90732,2011-12-02,b-alive gmbh,19.99
90733,2007-08-31,b-alive gmbh,3.99
90734,2012-11-09,b-alive gmbh,0.99
90735,2014-07-17,Highcastle Studios,4.99
90736,2014-07-16,Bernt Andreas Eide,0.0
90737,2012-12-12,Winter Wolves,24.99
90738,2014-07-17,Winter Wolves,0.99
90739,2014-07-17,Nerd Monkeys®,5.99
90740,2014-07-18,Paul Marrable,2.99
90741,2014-07-18,"Elias Viglione,Jussi Kukkonen",4.99
90742,2014-07-18,Celestial Games,5.99
90743,2001-11-01,Microids,2.99
90744,2012-07-01,MagicIndie,9.99
90745,2014-07-18,ShaunTWilliams,9.99
90746,2014-07-18,Hearthfire Studios,9.99
90747,2014-07-18,JumpCore Productions,14.99
90748,2014-07-18,FobTi interactive,4.99
90749,2014-07-18,Wastelands Interactive,19.99
90750,2014-07-18,Niels Bauer Games,3.99
90751,2014-07-21,"Tom Stoffel,Puny Human",1.99
90752,2014-07-21,Gato Salvaje S.L.,7.99
90753,2014-07-21,"ViewApp,MR-Software GbR",0.0
90754,2014-07-21,"Alan Hazelden,Harry Lee",9.99
90755,2014-07-21,New Reality Games,2.99
90756,2014-07-21,Up Multimedia,14.99
90757,2014-07-21,GalaxyTrail,14.99
90758,2014-07-22,"FromSoftware, Inc",9.99
90759,2014-07-22,Nom Nom Games,19.99
90760,2014-07-25,Winter Wolves,0.99
90761,2014-07-22,"SmiteWorks USA, LLC",9.99
90762,2014-07-22,"Max Gaming Technologies, LLC",14.99
90763,2014-07-22,Rob Howland,4.99
90764,2014-07-22,"FromSoftware, Inc",24.99
90765,2014-07-22,Tribe Studios,0.0
90766,2014-07-22,"JCR Soft Co., Ltd",0.0
90767,2014-07-22,"JCR Soft Co., Ltd",0.0
90768,2014-07-22,"Codemasters Racing,Feral Interactive (Mac),Feral Interactive (Linux)",2.99
90769,2014-07-23,Moonshot Games,4.99
90770,2014-07-23,"Codemasters Racing,Feral Interactive (Mac),Feral Interactive (Linux)",6.99
90771,2014-07-23,Isotope 244 LLC,14.99
90772,2014-07-23,"SmiteWorks USA, LLC",12.99
90773,2014-07-23,Relic Entertainment,3.99
90774,2014-07-23,Relic Entertainment,3.99
90775,2014-07-23,Relic Entertainment,3.99
90776,2014-07-23,Relic Entertainment,3.99
90777,2014-07-23,Relic Entertainment,3.99
90778,2014-06-04,"Trion Worlds, Inc.",99.99
90779,2012-11-12,The Lordz Games Studio,29.99
90780,2014-07-25,Nerdook Productions,6.99
90781,2014-07-25,,4.99
90782,2014-07-28,Fireproof Games,4.99
90783,2014-07-28,DragonSix,4.99
90784,2014-07-28,"SmiteWorks USA, LLC",5.99
90785,2014-07-28,Elliptic Games,14.99
90786,2014-07-28,"SmiteWorks USA, LLC",5.99
90787,2014-07-28,,4.99
90788,2014-07-28,"Elliptic Games,John Robert Matz",4.99
90789,2014-07-29,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",4.99
90790,2014-07-28,Elliptic Games,0.0
90791,2014-07-28,V-Axys,4.99
90792,2014-07-29,Nihon Falcom,19.99
90793,2011-11-04,Artifex Mundi,9.99
90794,2014-07-31,Infinity Ward,1.99
90795,2014-07-31,N94Games,0.99
90796,2014-08-04,Masthead Studios Ltd,9.99
90797,2014-08-04,Filament Games,4.99
90798,2015-08-15,Narrow Monolith,2.99
90799,2014-08-04,Sinclair Strange,0.99
90800,2014-08-05,Free Lives,0.0
90801,2014-08-05,Keen Games,14.99
90802,2014-08-05,Ubisoft - San Francisco,2.99
90803,2014-08-05,Ubisoft - San Francisco,2.99
90804,2014-08-05,Ubisoft - San Francisco,2.99
90805,2014-08-05,"Codemasters Racing,Feral Interactive (Mac),Feral Interactive (Linux)",2.99
90806,2014-08-05,Little Worlds Interactive,6.99
90807,,,8.99
90808,2014-08-05,Ubisoft - San Francisco,2.99
90809,2014-08-05,Spry Fox LLC,14.99
90810,2014-08-05,Ubisoft - San Francisco,2.99
90811,2014-08-06,"SmiteWorks USA, LLC",9.99
90812,2014-08-07,Night Node,9.99
90813,2014-08-07,Capcom,14.99
90814,2014-08-07,"JCR Soft Co., Ltd",0.0
90815,2014-08-07,Graviteam,14.99
90816,2014-08-08,Childish Things,9.99
90817,2014-08-08,Belsimtek,49.99
90818,2014-08-08,FrameLineNetwork Kft.,4.99
90819,2014-08-08,gnifrebel Games UG,9.99
90820,2004-02-03,MADia Entertainment,3.99
